tag,N,K,P,L,n,snr,em_db,hs_db,median_gain,ratio_gain,rho,inactive_fraction
array_N8_P10_S-5,8,3,10,,400,-5.0,6.616366458212467,5.006477379322898,1.610950894343104,1.6098890788895701,0.6898509580079111,0.125
array_N8_P10_S+0,8,3,10,,400,0.0,2.6385835400945856,1.4438487258570654,0.8250337005046875,1.1947348142375196,0.6960897384964999,0.1775
array_N8_P10_S+5,8,3,10,,400,5.0,-2.226767138005615,-2.2540010936035917,0.0,0.02723395559797695,0.6836918841021039,0.26
array_N8_P10_S+10,8,3,10,,400,10.0,-6.934713954574351,-6.526709066835277,0.0,-0.40800488773907434,0.6843002852437978,0.445
array_N8_P10_S+15,8,3,10,,400,15.0,-11.668020477532009,-10.270146190842798,0.0,-1.397874286689211,0.6958082461458552,0.5125
array_N8_P10_S+20,8,3,10,,400,20.0,-15.203959502258595,-13.530457084057232,0.0,-1.6735024182013616,0.68660659296041,0.5775
array_N8_P30_S-5,8,3,30,,400,-5.0,0.6017292195963023,-0.1604657051830656,0.3940261719404553,0.762194924779368,0.6914056864530742,0.1725
array_N8_P30_S+0,8,3,30,,400,0.0,-5.185045245169164,-4.920673345111281,0.0,-0.2643719000578833,0.6868606221634723,0.27
array_N8_P30_S+5,8,3,30,,400,5.0,-10.538769512712191,-10.09792991117073,0.0,-0.44083960154146196,0.6939437248930116,0.4125
array_N8_P30_S+10,8,3,30,,400,10.0,-15.69138567318486,-15.46791890443422,0.0,-0.22346676875064125,0.6854094592903601,0.635
array_N8_P30_S+15,8,3,30,,400,15.0,-20.81917766058446,-20.582316407850726,0.0,-0.23686125273373393,0.6948721166441081,0.72
array_N8_P30_S+20,8,3,30,,400,20.0,-25.581217189995247,-25.49303936351957,0.0,-0.08817782647567535,0.6964672177552331,0.845
array_N16_P10_S-5,16,3,10,,400,-5.0,6.682861961654489,4.107646304731935,3.031093645892565,2.5752156569225546,0.426030744635495,0.0325
array_N16_P10_S+0,16,3,10,,400,0.0,2.480172877681529,0.40130015677381414,2.3411467008417963,2.0788727209077154,0.4213066070632188,0.0375
array_N16_P10_S+5,16,3,10,,400,5.0,-2.1695139737097615,-3.326695036672653,0.997497521509874,1.1571810629628914,0.42040233924702486,0.065
array_N16_P10_S+10,16,3,10,,400,10.0,-6.918892833950342,-7.573890861226419,0.6635450484528077,0.6549980272760759,0.4234481116386781,0.11
array_N16_P10_S+15,16,3,10,,400,15.0,-11.85375685996769,-11.81808891750345,0.5031771034175323,-0.03566794246423818,0.41042914166641087,0.1
array_N16_P10_S+20,16,3,10,,400,20.0,-15.945815588157844,-15.586387985176465,0.3397993287111294,-0.35942760298137916,0.4230711168190565,0.105
array_N16_P30_S-5,16,3,30,,400,-5.0,0.7567493730867149,-0.9235177320210269,1.7334855910432065,1.6802671051077411,0.426142940583645,0.025
array_N16_P30_S+0,16,3,30,,400,0.0,-5.309294845475585,-5.776516472741637,0.5714599168035633,0.46722162726605343,0.4295131826464673,0.035
array_N16_P30_S+5,16,3,30,,400,5.0,-10.480061684675023,-11.015665065096753,0.5973581018300251,0.5356033804217293,0.4226492753112684,0.035
array_N16_P30_S+10,16,3,30,,400,10.0,-15.799828657005008,-16.27700113251662,0.5139973397327451,0.47717247551160996,0.42007596832582206,0.075
array_N16_P30_S+15,16,3,30,,400,15.0,-20.942787505679522,-21.509299254027606,0.5838428463805374,0.5665117483480843,0.4250970819449611,0.0675
array_N16_P30_S+20,16,3,30,,400,20.0,-25.937607498792993,-26.53754672518286,0.6498686474346502,0.5999392263898682,0.4298970840157499,0.0775
array_N32_P10_S-5,32,3,10,,400,-5.0,6.597933325984662,2.2272069633853504,4.91436253878954,4.370726362599312,0.23681113872583287,0.0175
array_N32_P10_S+0,32,3,10,,400,0.0,2.4430424434811653,-1.5629271527729018,4.075870189396592,4.005969596254068,0.23608753174513536,0.005
array_N32_P10_S+5,32,3,10,,400,5.0,-2.1643760843281603,-5.09892366080805,3.337740694678293,2.93454757647989,0.23581373507633863,0.0025
array_N32_P10_S+10,32,3,10,,400,10.0,-6.8217307376189815,-9.630991982434034,3.5326603336988125,2.809261244815053,0.23638688516090395,0.0025
array_N32_P10_S+15,32,3,10,,400,15.0,-11.693869791274247,-14.351437691603293,3.6011519066715936,2.6575679003290436,0.23897139078817933,0.0075
array_N32_P10_S+20,32,3,10,,400,20.0,-15.432416398797296,-18.608303986678578,3.531332470106414,3.175887587881282,0.23777779232147056,0.0025
array_N32_P30_S-5,32,3,30,,400,-5.0,0.5753074604687537,-2.3288243454561828,2.972063678699673,2.904131805924936,0.23797171107198828,0.0
array_N32_P30_S+0,32,3,30,,400,0.0,-5.2684522963756075,-7.6848986813010765,2.586346907613727,2.416446384925469,0.24432046396520324,0.0
array_N32_P30_S+5,32,3,30,,400,5.0,-10.594560858835694,-12.973433082867288,2.543505604673374,2.3788722240315954,0.2416697487592428,0.0
array_N32_P30_S+10,32,3,30,,400,10.0,-15.776570100836514,-18.26001108415027,2.700977663190538,2.483440983313755,0.23681430035750928,0.0
array_N32_P30_S+15,32,3,30,,400,15.0,-20.883278855947857,-23.388162379929973,2.618067466246177,2.5048835239821203,0.23462304839456638,0.0
