algorithm,snr_db,rsr_db,n_ok,n_failed,nmse_linear,nmse_db,se_linear,se_db,nmse_db_ci95_low,nmse_db_ci95_high,total_error_energy,total_expected_symbol_energy
biased_gs,3.0,0.0,500,0,0.471330446808888,-3.2667450495922834,0.02856346788902592,0.2631902218965829,-3.782588405592691,-2.7509016935918758,706.995670213332,1500.0
biased_gs,3.0,1.0,500,0,0.4442917036286452,-3.523317963741179,0.02802997574992605,0.2739925975806582,-4.060333587029845,-2.9863023404525126,666.4375554429678,1500.0
biased_gs,3.0,2.0,500,0,0.39935940872427816,-3.9863607933242022,0.02612043474673559,0.2840539230478783,-4.5430962521653555,-3.429625334483049,599.0391130864173,1500.0
biased_gs,3.0,3.0,500,0,0.30400378273049705,-5.171210124150604,0.01812626884263927,0.25894870337293857,-5.678740256604909,-4.6636799916962985,456.0056740957456,1500.0
biased_gs,3.0,4.0,500,0,0.2568044719183402,-5.903974178596146,0.014868149019906136,0.25144247011063536,-6.39679236419678,-5.4111559929955115,385.2067078775103,1500.0
biased_gs,3.0,5.0,500,0,0.2393517368094838,-6.2096341679687175,0.01424185328853254,0.258412927256448,-6.716114198530924,-5.703154137406511,359.0276052142257,1500.0
biased_gs,3.0,6.0,500,0,0.1993452265225329,-7.003941593983472,0.008911761714516806,0.19415207497902287,-7.384472668466078,-6.623410519500867,299.01783978379933,1500.0
biased_gs,3.0,7.0,500,0,0.18938867648320096,-7.226459909498208,0.008371523599594005,0.19197063794619296,-7.602715445961924,-6.850204373034491,284.08301472480144,1500.0
biased_gs,3.0,8.0,500,0,0.16281476738856573,-7.883062069129835,0.006099011202926459,0.16268591313806677,-8.201920599672457,-7.564203538587212,244.2221510828486,1500.0
biased_gs,3.0,9.0,500,0,0.15182353493148157,-8.186609010451361,0.004590254681005989,0.13130522085335153,-8.443962514306008,-7.929255506596714,227.73530239722234,1500.0
biased_gs,3.0,10.0,500,0,0.15620844258154937,-8.062954975554224,0.006578908332965073,0.18290839718617932,-8.421448846509083,-7.704461104599365,234.31266387232404,1500.0
biased_gs,3.0,11.0,500,0,0.146908090758859,-8.329542853862783,0.005400178535338667,0.1596418364077433,-8.642435103647795,-8.016650604077771,220.3621361382885,1500.0
