algorithm,snr_db,ber,ber_ci95_low,ber_ci95_high,bit_errors,bit_count,n_trials
biased_gs,-5.0,0.19577777777777777,0.1900462343514842,0.20163914429118085,3524,18000,3000
biased_gs,-4.0,0.16094444444444445,0.15564846960260376,0.16638510706945336,2897,18000,3000
biased_gs,-3.0,0.12105555555555556,0.11637099143203508,0.12590182955438167,2179,18000,3000
biased_gs,-2.0,0.09072222222222222,0.08661326709587074,0.09500583160035152,1633,18000,3000
biased_gs,-1.0,0.0545,0.05127784633809507,0.05791226530097192,981,18000,3000
biased_gs,0.0,0.03844444444444445,0.03573273183240937,0.041353120206170074,692,18000,3000
biased_gs,1.0,0.021483333333333333,0.020353468774739907,0.022674467371524235,1289,60000,10000
biased_gs,2.0,0.011,0.010196167587790001,0.011866444182311702,660,60000,10000
biased_gs,3.0,0.00505,0.0045136432656384074,0.00564973034501975,303,60000,10000
biased_gs,4.0,0.00195,0.0016274665151578458,0.0023363040208322443,117,60000,10000
biased_gs,5.0,0.0008733333333333334,0.0007360851536967637,0.001036145852091667,131,150000,25000
biased_gs,6.0,0.0003266666666666667,0.0002471230362746571,0.00043180263542990255,49,150000,25000
biased_gs,7.0,9.333333333333333e-05,5.559983059019063e-05,0.00015667112534686312,14,150000,25000
biased_gs,8.0,4.1666666666666665e-05,2.2633427077850168e-05,7.670439466607717e-05,10,240000,40000
biased_gs,9.0,8.333333333333334e-06,2.28530355070575e-06,3.0386918581370182e-05,2,240000,40000
biased_gs,10.0,0.0,1.6940658945086007e-21,1.6005822229113083e-05,0,240000,40000
biased_gs,11.0,1.25e-05,4.251136934253071e-06,3.675428514930429e-05,3,240000,40000
biased_gs,12.0,4.166666666666667e-06,7.355193575464004e-07,2.360350282304811e-05,1,240000,40000
em_gs,-5.0,0.16361111111111112,0.15827889852640945,0.16908687351181864,2945,18000,3000
em_gs,-4.0,0.12983333333333333,0.12500192506841115,0.13482270566498497,2337,18000,3000
em_gs,-3.0,0.09616666666666666,0.09194549490139707,0.10056016933409088,1731,18000,3000
em_gs,-2.0,0.07072222222222223,0.06706800363650063,0.0745596298134396,1273,18000,3000
em_gs,-1.0,0.041777777777777775,0.038951300381383586,0.04479979586490952,752,18000,3000
em_gs,0.0,0.029222222222222222,0.026860355957782744,0.03178498710612219,526,18000,3000
em_gs,1.0,0.0152,0.014251608937282927,0.016210465063014223,912,60000,10000
em_gs,2.0,0.007683333333333334,0.007015492771324534,0.008414210332868865,461,60000,10000
em_gs,3.0,0.00335,0.0029183733533115607,0.0038452179260770117,201,60000,10000
em_gs,4.0,0.0013166666666666667,0.0010566994279360528,0.0016404855336594865,79,60000,10000
em_gs,5.0,0.00046666666666666666,0.0003694184750597278,0.0005895000261053354,70,150000,25000
em_gs,6.0,0.00017333333333333334,0.0001182955456706632,0.0002539713128152497,26,150000,25000
em_gs,7.0,4e-05,1.8332483624028974e-05,8.727453728045199e-05,6,150000,25000
em_gs,8.0,2.0833333333333333e-05,8.898786526454594e-06,4.8773035460065604e-05,5,240000,40000
em_gs,9.0,8.333333333333334e-06,2.28530355070575e-06,3.0386918581370182e-05,2,240000,40000
em_gs,10.0,0.0,1.6940658945086007e-21,1.6005822229113083e-05,0,240000,40000
em_gs,11.0,1.25e-05,4.251136934253071e-06,3.675428514930429e-05,3,240000,40000
em_gs,12.0,0.0,1.6940658945086007e-21,1.6005822229113083e-05,0,240000,40000
exhaustive_ls,-5.0,0.17705555555555555,0.17154825724087439,0.18270066643513214,3187,18000,3000
exhaustive_ls,-4.0,0.13716666666666666,0.13221828885247527,0.1422698791378909,2469,18000,3000
exhaustive_ls,-3.0,0.10244444444444445,0.09809910439028165,0.10695943643640039,1844,18000,3000
exhaustive_ls,-2.0,0.06788888888888889,0.06430542766784156,0.07165674820554202,1222,18000,3000
exhaustive_ls,-1.0,0.039,0.03626878247548589,0.04192794359771249,702,18000,3000
exhaustive_ls,0.0,0.023444444444444445,0.021333576718968805,0.025758676384899083,422,18000,3000
exhaustive_ls,1.0,0.010333333333333333,0.009554935631999396,0.011174428165055412,620,60000,10000
exhaustive_ls,2.0,0.00445,0.003948219186467821,0.00501523124844813,267,60000,10000
exhaustive_ls,3.0,0.0017,0.0014007411335259807,0.002063061412571524,102,60000,10000
exhaustive_ls,4.0,0.0005,0.0003502731136996021,0.0007136830809134896,30,60000,10000
exhaustive_ls,5.0,0.00013333333333333334,8.631843547330604e-05,0.0002059504717381773,20,150000,25000
exhaustive_ls,6.0,3.3333333333333335e-05,1.4238088957817683e-05,7.803594006759168e-05,5,150000,25000
exhaustive_ls,7.0,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2,150000,25000
exhaustive_ls,8.0,4.166666666666667e-06,7.355193575464004e-07,2.360350282304811e-05,1,240000,40000
exhaustive_ls,9.0,0.0,1.6940658945086007e-21,1.6005822229113083e-05,0,240000,40000
exhaustive_ls,10.0,0.0,1.6940658945086007e-21,1.6005822229113083e-05,0,240000,40000
exhaustive_ls,11.0,0.0,1.6940658945086007e-21,1.6005822229113083e-05,0,240000,40000
exhaustive_ls,12.0,0.0,1.6940658945086007e-21,1.6005822229113083e-05,0,240000,40000
exhaustive_ml,-5.0,0.15016666666666667,0.14502259520151276,0.15546002519893679,2703,18000,3000
exhaustive_ml,-4.0,0.11777777777777777,0.11315008682459067,0.12256857735757427,2120,18000,3000
exhaustive_ml,-3.0,0.08588888888888889,0.08188337148458139,0.09007112311045606,1546,18000,3000
exhaustive_ml,-2.0,0.059055555555555556,0.05570503038962202,0.06259424833332033,1063,18000,3000
exhaustive_ml,-1.0,0.03172222222222222,0.02926014589655565,0.03438413032313453,571,18000,3000
exhaustive_ml,0.0,0.019055555555555555,0.01715844534527482,0.02115790288510339,343,18000,3000
exhaustive_ml,1.0,0.008266666666666667,0.007572992507155514,0.009023302573453918,496,60000,10000
exhaustive_ml,2.0,0.003833333333333333,0.0033696395776127994,0.004360556482234773,230,60000,10000
exhaustive_ml,3.0,0.0011833333333333333,0.0009383427643380656,0.0014921926026480949,71,60000,10000
exhaustive_ml,4.0,0.0004166666666666667,0.0002822562444343559,0.0006150439535478737,25,60000,10000
exhaustive_ml,5.0,0.00011333333333333333,7.07642688080531e-05,0.00018150566276621544,17,150000,25000
exhaustive_ml,6.0,4e-05,1.8332483624028974e-05,8.727453728045199e-05,6,150000,25000
exhaustive_ml,7.0,6.666666666666667e-06,1.1768313355787803e-06,3.776523017354418e-05,1,150000,25000
exhaustive_ml,8.0,4.166666666666667e-06,7.355193575464004e-07,2.360350282304811e-05,1,240000,40000
exhaustive_ml,9.0,0.0,1.6940658945086007e-21,1.6005822229113083e-05,0,240000,40000
exhaustive_ml,10.0,0.0,1.6940658945086007e-21,1.6005822229113083e-05,0,240000,40000
exhaustive_ml,11.0,0.0,1.6940658945086007e-21,1.6005822229113083e-05,0,240000,40000
exhaustive_ml,12.0,0.0,1.6940658945086007e-21,1.6005822229113083e-05,0,240000,40000
genie_zf,-5.0,0.029722222222222223,0.027339950795176732,0.032305178899885253,535,18000,3000
genie_zf,-4.0,0.017611111111111112,0.015789958945481228,0.01963811679488773,317,18000,3000
genie_zf,-3.0,0.009055555555555556,0.007772630052499804,0.010547985554737372,163,18000,3000
genie_zf,-2.0,0.003111111111111111,0.002396772438842537,0.004037490997971913,56,18000,3000
genie_zf,-1.0,0.0017777777777777779,0.0012596240626545176,0.002508541691074462,32,18000,3000
genie_zf,0.0,0.00038888888888888887,0.00018839365251876837,0.0008025870146628452,7,18000,3000
genie_zf,1.0,1.6666666666666667e-05,2.94208197400375e-06,9.44093321800882e-05,1,60000,10000
genie_zf,2.0,0.0,6.776263578034403e-21,6.402021482791953e-05,0,60000,10000
genie_zf,3.0,0.0,6.776263578034403e-21,6.402021482791953e-05,0,60000,10000
genie_zf,4.0,0.0,6.776263578034403e-21,6.402021482791953e-05,0,60000,10000
genie_zf,5.0,0.0,0.0,2.5609069630051364e-05,0,150000,25000
genie_zf,6.0,0.0,0.0,2.5609069630051364e-05,0,150000,25000
genie_zf,7.0,0.0,0.0,2.5609069630051364e-05,0,150000,25000
genie_zf,8.0,0.0,1.6940658945086007e-21,1.6005822229113083e-05,0,240000,40000
genie_zf,9.0,0.0,1.6940658945086007e-21,1.6005822229113083e-05,0,240000,40000
genie_zf,10.0,0.0,1.6940658945086007e-21,1.6005822229113083e-05,0,240000,40000
genie_zf,11.0,0.0,1.6940658945086007e-21,1.6005822229113083e-05,0,240000,40000
genie_zf,12.0,0.0,1.6940658945086007e-21,1.6005822229113083e-05,0,240000,40000
