algorithm,snr_db,ber,ber_ci95_low,ber_ci95_high,bit_errors,bit_count,n_trials
biased_gs,-5.0,0.3176875,0.3135371902540902,0.321866988492442,15249,48000,2000
biased_gs,-4.0,0.27779166666666666,0.2738025789088209,0.2818163184184001,13334,48000,2000
biased_gs,-3.0,0.24135416666666668,0.23754693987197564,0.2452027892033525,11585,48000,2000
biased_gs,-2.0,0.20302083333333334,0.19944616634561585,0.20664303123543953,9745,48000,2000
biased_gs,-1.0,0.1666875,0.1633800665782749,0.1700482794125567,8001,48000,2000
biased_gs,0.0,0.13445833333333335,0.13143570231867857,0.13753946855169658,6454,48000,2000
biased_gs,1.0,0.10321666666666666,0.10150797124320449,0.10495076505752071,12386,120000,5000
biased_gs,2.0,0.07515833333333333,0.073680200914808,0.07666366507727986,9019,120000,5000
biased_gs,3.0,0.0543,0.05303207255288514,0.05559646217026322,6516,120000,5000
biased_gs,4.0,0.0353,0.03427068905047759,0.03635906209569033,4236,120000,5000
biased_gs,5.0,0.020541666666666666,0.01975433780745713,0.021359691533959755,2465,120000,5000
biased_gs,6.0,0.01075,0.010345187857163514,0.011170473839887672,2580,240000,10000
biased_gs,7.0,0.0051,0.004822831596178717,0.005393010966663659,1224,240000,10000
biased_gs,8.0,0.001775,0.0016143817999425283,0.0019515672016176717,426,240000,10000
biased_gs,9.0,0.0006041666666666667,0.0005135280985240258,0.0007107917166698939,145,240000,10000
biased_gs,10.0,0.0001638888888888889,0.00012706851282461641,0.0002113763724492843,59,360000,15000
biased_gs,11.0,2.2222222222222223e-05,1.1260594386473038e-05,4.385398089220133e-05,8,360000,15000
biased_gs,12.0,2.777777777777778e-06,4.903461542197776e-07,1.5735755203541163e-05,1,360000,15000
em_gs,-5.0,0.2687291666666667,0.2647820515373794,0.27271329622461965,12899,48000,2000
em_gs,-4.0,0.2344375,0.23066891211950466,0.23824859062098727,11253,48000,2000
em_gs,-3.0,0.19883333333333333,0.19528695868963614,0.20242790909231662,9544,48000,2000
em_gs,-2.0,0.17070833333333332,0.16736875971176957,0.1741006094194939,8194,48000,2000
em_gs,-1.0,0.14058333333333334,0.13750254576795903,0.14372164480856622,6748,48000,2000
em_gs,0.0,0.113125,0.11032230724387411,0.11598961131664491,5430,48000,2000
em_gs,1.0,0.08665,0.0850715053883211,0.0882549582145808,10398,120000,5000
em_gs,2.0,0.0634,0.06203519745625881,0.06479275466428545,7608,120000,5000
em_gs,3.0,0.04550833333333333,0.04434360708884318,0.046702157163377826,5461,120000,5000
em_gs,4.0,0.029425,0.028483800988082453,0.030396326288887568,3531,120000,5000
em_gs,5.0,0.01685,0.016137085716209726,0.01759384664073245,2022,120000,5000
em_gs,6.0,0.008804166666666667,0.008438211762741349,0.009185845556968013,2113,240000,10000
em_gs,7.0,0.003933333333333333,0.003690730579019227,0.004191815997408349,944,240000,10000
em_gs,8.0,0.0015708333333333334,0.0014201711661611075,0.0017374510377765025,377,240000,10000
em_gs,9.0,0.00048333333333333334,0.00040303167316139797,0.0005796253434395603,116,240000,10000
em_gs,10.0,0.00010555555555555555,7.690920509984796e-05,0.0001448702584113125,38,360000,15000
em_gs,11.0,1.9444444444444445e-05,9.419097041204925e-06,4.013998196305323e-05,7,360000,15000
em_gs,12.0,2.777777777777778e-06,4.903461542197776e-07,1.5735755203541163e-05,1,360000,15000
genie_zf,-5.0,0.12104166666666667,0.11815399340901608,0.12398999143836362,5810,48000,2000
genie_zf,-4.0,0.096375,0.09376720857813711,0.09904739078597141,4626,48000,2000
genie_zf,-3.0,0.07704166666666666,0.07468985819254766,0.07946116876575372,3698,48000,2000
genie_zf,-2.0,0.059104166666666666,0.05702960342979959,0.0612492943890622,2837,48000,2000
genie_zf,-1.0,0.042291666666666665,0.04052758342813109,0.044129005197318674,2030,48000,2000
genie_zf,0.0,0.0298125,0.02832828307423419,0.031371969483243084,1431,48000,2000
genie_zf,1.0,0.016666666666666666,0.015957662163958636,0.017406615263731974,2000,120000,5000
genie_zf,2.0,0.00925,0.008723850803822058,0.009807568122327944,1110,120000,5000
genie_zf,3.0,0.0046,0.004232680368937303,0.00499903626074117,552,120000,5000
genie_zf,4.0,0.0019666666666666665,0.0017314408452639384,0.002233777709710229,236,120000,5000
genie_zf,5.0,0.0005583333333333333,0.0004397160139890357,0.000708926039007196,67,120000,5000
genie_zf,6.0,0.00014166666666666668,0.00010138500967262944,0.00019794961090685207,34,240000,10000
genie_zf,7.0,2.5e-05,1.1457773005917759e-05,5.454724893208387e-05,6,240000,10000
genie_zf,8.0,0.0,1.6940658945086007e-21,1.6005822229113083e-05,0,240000,10000
genie_zf,9.0,0.0,1.6940658945086007e-21,1.6005822229113083e-05,0,240000,10000
genie_zf,10.0,0.0,0.0,1.0670605083344736e-05,0,360000,15000
genie_zf,11.0,0.0,0.0,1.0670605083344736e-05,0,360000,15000
genie_zf,12.0,0.0,0.0,1.0670605083344736e-05,0,360000,15000
