epoch,train_loss,val_nmse_db,lr,seconds
0,0.043671515527367595,-13.856202835386819,0.000985470908713026,534.6
1,0.03822770264670253,-14.215622070052946,0.000942728012826605,433.6
2,0.03395182466357946,-14.922255574799514,0.0008742553740855506,429.0
3,0.030954647066444158,-15.271341568750227,0.0007840323733655781,463.7
4,0.028444389524683356,-15.497042819628524,0.0006773024435212678,494.4
5,0.026270388985425233,-15.87238051145642,0.0005602683401276615,454.1
6,0.024335287453979254,-16.140729911211967,0.00043973165987233864,446.6
7,0.022962962852418424,-16.336608236325176,0.00032269755647873233,443.1
8,0.022018358789756894,-16.46362547105666,0.00021596762663442218,479.8
9,0.021334546360373498,-16.547129186513068,0.00012574462591444943,448.4
10,0.020854435094445945,-16.60429223576655,5.727198717339522e-05,458.4
11,0.020532855470106005,-16.62134946958864,1.4529091286973998e-05,478.2
12,0.020359457357227804,-16.648979436631045,0.0,469.4
