epoch,train_loss_db,val_nmse_db,lr,seconds
0,-4.542142509110074,-5.188074268445952,0.000985470908713026,1309.1
1,-5.439910787312508,-5.458051625003357,0.000942728012826605,617.2
2,-5.661946487467989,-5.659636826113599,0.0008742553740855506,635.1
3,-5.922300335389852,-5.988094868922779,0.0007840323733655781,648.2
4,-6.266485011439535,-6.340702239947412,0.0006773024435212678,627.1
5,-6.568997632324271,-6.548675191475789,0.0005602683401276615,614.7
6,-6.750417933226675,-6.622270651131607,0.00043973165987233864,654.5
7,-6.886486316364691,-6.684568645471966,0.00032269755647873233,622.0
8,-7.00381281324935,-6.700468546769573,0.00021596762663442218,615.7
9,-7.113269349686555,-6.707360263592214,0.00012574462591444943,635.2
10,-7.208824528735604,-6.698546128654409,5.727198717339522e-05,630.9
11,-7.282026804117336,-6.686166452013435,1.4529091286973998e-05,608.6
12,-7.328170752694403,-6.675561719067195,0.0,606.6
