epoch,train_loss,val_nmse_db,lr,seconds
0,-15.547780287100611,-15.656666285184253,0.000985470908713026,839.3
1,-15.871209971115212,-15.944530484633166,0.000942728012826605,477.1
2,-16.13487904362477,-16.177441372870444,0.0008742553740855506,480.7
3,-16.42856041558121,-16.50196814948741,0.0007840323733655781,492.7
4,-16.70337510936004,-16.667725686673556,0.0006773024435212678,483.7
5,-16.87642366741231,-16.814246178081536,0.0005602683401276615,484.4
6,-17.012493608616392,-16.884213139676895,0.00043973165987233864,481.5
7,-17.127894697150655,-16.956555188129375,0.00032269755647873233,489.4
8,-17.213067827257333,-17.015800691368884,0.00021596762663442218,517.5
9,-17.32133582651313,-17.03224954113391,0.00012574462591444943,519.2
10,-17.391276251720676,-17.07824545307759,5.727198717339522e-05,477.4
11,-17.444800292603723,-17.083327286504964,1.4529091286973998e-05,475.7
12,-17.476736992529048,-17.08860740443467,0.0,485.4
