epoch,train_loss,val_nmse_db,lr,seconds
0,-13.750361966605833,-14.058274495021566,0.000985470908713026,730.2
1,-14.670749934747406,-15.12226155521374,0.000942728012826605,359.4
2,-15.51137708373328,-15.761448843439645,0.0008742553740855506,361.2
3,-16.132514092691604,-16.247371110018797,0.0007840323733655781,360.3
4,-16.598949675392394,-16.61493700418172,0.0006773024435212678,361.2
5,-16.898980063888708,-16.812082534006677,0.0005602683401276615,363.1
6,-17.09452629299786,-16.921545742298285,0.00043973165987233864,363.6
7,-17.252639436110677,-17.019017221888465,0.00032269755647873233,365.0
8,-17.384222899825332,-17.091394735994587,0.00021596762663442218,358.4
9,-17.489318562670523,-17.1456335549708,0.00012574462591444943,361.8
10,-17.58646560017915,-17.176097309198113,5.727198717339522e-05,361.9
11,-17.653590532522664,-17.195321056952707,1.4529091286973998e-05,356.5
12,-17.695774243416487,-17.20594557914442,0.0,361.6
