epoch,train_loss,val_nmse_db,lr,seconds
0,-8.896091456985474,-5.28873909040389,0.000985470908713026,1322.8
1,-9.867978697776794,-5.751103930727465,0.000942728012826605,679.9
2,-10.386092815208436,-6.001750228810547,0.0008742553740855506,706.1
3,-10.763179568862915,-6.22641422280192,0.0007840323733655781,690.9
4,-11.256337196731568,-6.47450670503428,0.0006773024435212678,683.7
5,-11.712645213127136,-6.640405211779175,0.0005602683401276615,688.4
6,-12.0003513256073,-6.735120433096298,0.00043973165987233864,699.7
7,-12.180034400939942,-6.78664838774141,0.00032269755647873233,693.7
8,-12.3101696723938,-6.829843809181229,0.00021596762663442218,686.0
9,-12.414295712661744,-6.846036123811077,0.00012574462591444943,675.2
10,-12.494090777778625,-6.85516125187797,5.727198717339522e-05,677.2
11,-12.551342344856263,-6.868308130650619,1.4529091286973998e-05,681.3
12,-12.585187285614014,-6.870326768404124,0.0,694.4
