algorithm,snr_db,rsr_db,n_ok,n_failed,nmse_linear,nmse_db,se_linear,se_db,nmse_db_ci95_low,nmse_db_ci95_high,total_error_energy,total_expected_symbol_energy
biased_gs,-5.0,12.0,635,0,1.5473982117941292,1.8960209064204712,0.040979086139925215,0.1150123533060882,1.670600836163342,2.1214409766776003,2947.793593467816,1905.0
biased_gs,-4.0,12.0,635,0,1.1027163218344962,0.42463802823342367,0.029599504196200034,0.11657487138755872,0.19615547881141976,0.6531205776554276,2100.6745930947154,1905.0
biased_gs,-3.0,12.0,635,0,0.8237107503995557,-0.8422526592266744,0.023863999955172247,0.1258209085124057,-1.0888571084130987,-0.59564821004025,1569.1689795111536,1905.0
biased_gs,-2.0,12.0,635,0,0.5940538921986986,-2.2617415430696637,0.017474308661750787,0.12774928211957917,-2.5121255350748855,-2.011357551064442,1131.672664638521,1905.0
biased_gs,-1.0,12.0,635,0,0.4502623589886389,-3.465343576491215,0.0132896102347551,0.1281831420366353,-3.7165779183082024,-3.2141092346742277,857.7497938733571,1905.0
biased_gs,0.0,12.0,635,0,0.32951916429914113,-4.821193224741071,0.009798370894031901,0.12913902655617343,-5.074301065789733,-4.568085383692409,627.7340079898638,1905.0
biased_gs,1.0,12.0,635,0,0.24390837161112652,-6.127732932405056,0.007249304082701613,0.12907850353638312,-6.380722150514693,-5.87474371429542,464.64544791919604,1905.0
biased_gs,2.0,12.0,635,0,0.1808373353148725,-7.427119010326399,0.005471445536406186,0.13140088579374007,-7.68466001401879,-7.169578006634008,344.4951237748321,1905.0
biased_gs,3.0,12.0,635,0,0.13252957761001233,-8.776871861852205,0.0043055686342779636,0.14109187798251713,-9.053406861209059,-8.500336862495352,252.46884534707348,1905.0
biased_gs,4.0,12.0,635,0,0.09885763436166903,-10.0498978630864,0.0028498025819101397,0.12519554446440406,-10.295276621261515,-9.804519104911286,188.3237934589795,1905.0
