algorithm,snr_db,n_ok,n_failed,failure_rate,nmse_db,median_nmse_db,aggregate_minus_median_db,p10_nmse_db,p25_nmse_db,p50_nmse_db,p75_nmse_db,p90_nmse_db,p95_nmse_db,p99_nmse_db,worse_than_zero_rate,top1pct_energy_share,top5pct_energy_share,max_nmse_linear
biased_gs,-5.0,2000,0,0.0,1.9055961918039865,1.1565268051161723,0.7490693866878142,-2.655485278754364,-0.7350615287128816,1.1565268051161723,2.9995973573683403,4.55067031420717,5.323741496744791,6.818035060878876,0.6645,0.03831266718453147,0.1431468344673943,9.421903546076782
biased_gs,-4.0,2000,0,0.0,0.5101027247057546,-0.23574804655824366,0.7458507712639982,-4.250389484090207,-2.257489174196063,-0.23574804655824366,1.5869805469087286,3.1701234877155087,4.186983215078049,6.001752096396603,0.4595,0.041987423398024186,0.15219684000593278,5.834824320686131
biased_gs,-3.0,2000,0,0.0,-0.8070903558035811,-1.7945991723922605,0.9875088165886794,-5.805486456300279,-3.951393486463029,-1.7945991723922605,0.20489794713357956,2.0090959141159184,2.987507293450262,5.017762199034923,0.274,0.048714757143223264,0.16404453053317805,9.520216156847093
biased_gs,-2.0,2000,0,0.0,-2.123972493160355,-3.2037566183425046,1.0797841251821496,-7.194449138434688,-5.2286121249710105,-3.2037566183425046,-1.0997378999447103,0.7552969459944769,1.8256719113072182,3.8343323146844983,0.1495,0.05110141007719984,0.17130286054571556,4.316367420890008
biased_gs,-1.0,2000,0,0.0,-3.5978914560135205,-4.6018388384773985,1.003947382463878,-8.543074410865879,-6.555585726711227,-4.6018388384773985,-2.4832221939334262,-0.760402193140536,0.2059609693690699,2.1377926240429272,0.0595,0.04983541573259656,0.1632208635967455,4.3934572986330584
biased_gs,0.0,2000,0,0.0,-4.807900925419142,-5.705260562943356,0.8973596375242137,-9.811972098864729,-7.7699350389494555,-5.705260562943356,-3.8508974789221946,-2.152698150943293,-0.8868286417034215,1.2628327844486527,0.023,0.05225261201873232,0.16869384738220597,4.406451556418947
biased_gs,1.0,2000,0,0.0,-6.108561610437864,-6.920446803628733,0.8118851931908697,-11.28702281208124,-9.129580213511261,-6.920446803628733,-5.0714129120910965,-3.2797191481493657,-2.3169462668377347,-0.5550486483501716,0.0045,0.04355313863944242,0.15851690586406778,1.4986685955828023
biased_gs,2.0,2000,0,0.0,-7.411610159886712,-8.349712872667167,0.9381027127804549,-12.18915051739062,-10.40956005143813,-8.349712872667167,-6.31980124100453,-4.5955570587951335,-3.604659165720792,-1.8097673921979296,0.0005,0.045539355043134756,0.16127564802434674,1.3920254627703594
biased_gs,3.0,2000,0,0.0,-8.709248451130957,-9.565634718196412,0.8563862670654547,-13.593767902225684,-11.683969672406697,-9.565634718196412,-7.727534062066656,-6.013972563406345,-4.940535534401256,-3.1572693060916412,0.0005,0.05085662454103481,0.1638545400907669,1.7127026251214803
biased_gs,4.0,2000,0,0.0,-9.881981999744344,-10.676825648456935,0.7948436487125914,-14.797207471005338,-12.846409569903997,-10.676825648456935,-8.810700514468559,-7.215045329723976,-6.153147135472164,-4.254840118644765,0.0,0.04371795347006516,0.15652579255093843,0.7070076441766476
biased_gs,5.0,2000,0,0.0,-11.00290859914412,-11.789896012510335,0.786987413366214,-15.79027398015124,-13.768159379232008,-11.789896012510335,-9.859286053587521,-8.269063318221328,-7.5199152614531295,-5.93664876945632,0.0,0.04216832849781131,0.14751631565227624,0.5563806552593248
biased_gs,6.0,2000,0,0.0,-12.241835792040794,-12.892223647863112,0.6503878558223182,-17.037065812661826,-14.893068716387138,-12.892223647863112,-11.163443296159679,-9.58755088024746,-8.869426291617795,-7.516755083256427,0.0,0.04293934183030176,0.14335557457837603,0.5613138779535987
biased_gs,7.0,2000,0,0.0,-13.37983335763316,-14.123855494882513,0.7440221372493525,-18.23052227028699,-16.163186837001884,-14.123855494882513,-12.28431751372446,-10.720673241310031,-9.729364458015063,-8.13423506446343,0.0,0.04107668176293576,0.14942111543368375,0.2860916654206029
biased_gs,8.0,2000,0,0.0,-14.429153102692691,-15.070022846033538,0.640869743340847,-18.959822282498273,-17.11878092960975,-15.070022846033538,-13.268364070146069,-11.797621830229891,-10.971256758104591,-9.499167402464701,0.0,0.03925501032984637,0.14221892160446106,0.2163928581683335
