experiment,config_fingerprint,track,trial,snr_db,rsr_db,N,K,P,modulation,algorithm,metric,value,error_energy,true_energy,expected_symbol_energy,bit_errors,bit_count,status,error_type,error_message,master_seed,sigma2,alpha_b_abs,max_iter
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,-5,12,36,3,1,16-QAM,biased_gs,detection_nmse,1.0934133912408777,3.2802401737226328,,3,,,ok,,,20260818,9.4868329805051381,3.9810717055349718,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,-5,12,36,3,1,16-QAM,em_gs,detection_nmse,0.55012683823612984,1.6503805147083894,,3,,,ok,,,20260818,9.4868329805051381,3.9810717055349718,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,-5,12,36,3,1,16-QAM,genie_zf,detection_nmse,0.19183286173080882,0.57549858519242647,,3,,,ok,,,20260818,9.4868329805051381,3.9810717055349718,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,-5,12,36,3,1,16-QAM,cui_crlb,detection_nmse,0.74676691882880941,2.2403007564864281,,3,,,ok,,,20260818,9.4868329805051381,3.9810717055349718,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,-4,12,36,3,1,16-QAM,biased_gs,detection_nmse,0.75361367234615761,2.260841017038473,,3,,,ok,,,20260818,7.5356592945287408,3.9810717055349727,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,-4,12,36,3,1,16-QAM,em_gs,detection_nmse,0.35167016990753081,1.0550105097225924,,3,,,ok,,,20260818,7.5356592945287408,3.9810717055349727,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,-4,12,36,3,1,16-QAM,genie_zf,detection_nmse,0.052897346676507841,0.15869204002952353,,3,,,ok,,,20260818,7.5356592945287408,3.9810717055349727,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,-4,12,36,3,1,16-QAM,cui_crlb,detection_nmse,0.58454975511506257,1.7536492653451878,,3,,,ok,,,20260818,7.5356592945287408,3.9810717055349727,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,-3,12,36,3,1,16-QAM,biased_gs,detection_nmse,0.45356064518612937,1.3606819355583881,,3,,,ok,,,20260818,5.9857869449066392,3.9810717055349731,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,-3,12,36,3,1,16-QAM,em_gs,detection_nmse,0.24642827347279153,0.73928482041837462,,3,,,ok,,,20260818,5.9857869449066392,3.9810717055349731,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,-3,12,36,3,1,16-QAM,genie_zf,detection_nmse,0.14584667108794491,0.43754001326383474,,3,,,ok,,,20260818,5.9857869449066392,3.9810717055349731,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,-3,12,36,3,1,16-QAM,cui_crlb,detection_nmse,0.4428449046352963,1.328534713905889,,3,,,ok,,,20260818,5.9857869449066392,3.9810717055349731,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,-2,12,36,3,1,16-QAM,biased_gs,detection_nmse,0.5389125853333061,1.6167377559999183,,3,,,ok,,,20260818,4.7546795773833406,3.9810717055349727,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,-2,12,36,3,1,16-QAM,em_gs,detection_nmse,0.36452684829720977,1.0935805448916294,,3,,,ok,,,20260818,4.7546795773833406,3.9810717055349727,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,-2,12,36,3,1,16-QAM,genie_zf,detection_nmse,0.12007181479487335,0.36021544438462005,,3,,,ok,,,20260818,4.7546795773833406,3.9810717055349727,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,-2,12,36,3,1,16-QAM,cui_crlb,detection_nmse,0.39596151863137824,1.1878845558941347,,3,,,ok,,,20260818,4.7546795773833406,3.9810717055349727,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,-1,12,36,3,1,16-QAM,biased_gs,detection_nmse,0.20281951113115324,0.60845853339345968,,3,,,ok,,,20260818,3.7767762353825018,3.9810717055349718,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,-1,12,36,3,1,16-QAM,em_gs,detection_nmse,0.096556830915380518,0.28967049274614154,,3,,,ok,,,20260818,3.7767762353825018,3.9810717055349718,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,-1,12,36,3,1,16-QAM,genie_zf,detection_nmse,0.090848587712539411,0.27254576313761825,,3,,,ok,,,20260818,3.7767762353825018,3.9810717055349718,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,-1,12,36,3,1,16-QAM,cui_crlb,detection_nmse,0.26891403043166368,0.80674209129499097,,3,,,ok,,,20260818,3.7767762353825018,3.9810717055349718,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,0,12,36,3,1,16-QAM,biased_gs,detection_nmse,0.51234015285040024,1.5370204585512008,,3,,,ok,,,20260818,3,3.9810717055349718,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,0,12,36,3,1,16-QAM,em_gs,detection_nmse,0.37050469408076925,1.1115140822423077,,3,,,ok,,,20260818,3,3.9810717055349718,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,0,12,36,3,1,16-QAM,genie_zf,detection_nmse,0.10337878881284424,0.31013636643853271,,3,,,ok,,,20260818,3,3.9810717055349718,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,0,12,36,3,1,16-QAM,cui_crlb,detection_nmse,0.19821550409459154,0.59464651228377463,,3,,,ok,,,20260818,3,3.9810717055349718,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,1,12,36,3,1,16-QAM,biased_gs,detection_nmse,0.24365163332054482,0.73095489996163443,,3,,,ok,,,20260818,2.3829847041728445,3.9810717055349731,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,1,12,36,3,1,16-QAM,em_gs,detection_nmse,0.23582462484794142,0.70747387454382427,,3,,,ok,,,20260818,2.3829847041728445,3.9810717055349731,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,1,12,36,3,1,16-QAM,genie_zf,detection_nmse,0.10223881274770742,0.30671643824312228,,3,,,ok,,,20260818,2.3829847041728445,3.9810717055349731,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,1,12,36,3,1,16-QAM,cui_crlb,detection_nmse,0.14564024003703538,0.43692072011110616,,3,,,ok,,,20260818,2.3829847041728445,3.9810717055349731,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,2,12,36,3,1,16-QAM,biased_gs,detection_nmse,0.096292802161548452,0.28887840648464536,,3,,,ok,,,20260818,1.8928720334405795,3.9810717055349718,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,2,12,36,3,1,16-QAM,em_gs,detection_nmse,0.10894840204357475,0.32684520613072426,,3,,,ok,,,20260818,1.8928720334405795,3.9810717055349718,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,2,12,36,3,1,16-QAM,genie_zf,detection_nmse,0.023899996182488528,0.071699988547465579,,3,,,ok,,,20260818,1.8928720334405795,3.9810717055349718,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,2,12,36,3,1,16-QAM,cui_crlb,detection_nmse,0.14333879221283896,0.43001637663851688,,3,,,ok,,,20260818,1.8928720334405795,3.9810717055349718,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,3,12,36,3,1,16-QAM,biased_gs,detection_nmse,0.11605167076254963,0.34815501228764889,,3,,,ok,,,20260818,1.503561700881817,3.9810717055349722,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,3,12,36,3,1,16-QAM,em_gs,detection_nmse,0.12717163592842409,0.38151490778527225,,3,,,ok,,,20260818,1.503561700881817,3.9810717055349722,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,3,12,36,3,1,16-QAM,genie_zf,detection_nmse,0.051263593954750442,0.15379078186425132,,3,,,ok,,,20260818,1.503561700881817,3.9810717055349722,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,3,12,36,3,1,16-QAM,cui_crlb,detection_nmse,0.094604581087575079,0.28381374326272524,,3,,,ok,,,20260818,1.503561700881817,3.9810717055349722,50
cui_fig5,925f2ab8975505e255f5c37af74d115be38bc302991267f95f440e5f61ce4472,A,0,4,12,36,3,1,16-QAM,biased_gs,detection_nmse,0.10660093101676182,0.31980279305028547,,3,,,ok,,,20260818,1.1943215116604917,3.9810717055349722,50
