algorithm,snr_db,rsr_db,n_ok,n_failed,nmse_linear,nmse_db,se_linear,se_db,nmse_db_ci95_low,nmse_db_ci95_high,total_error_energy,total_expected_symbol_energy
biased_gs,-5.0,12.0,32,0,1.4852785514657392,1.7180790955896872,0.1425799172902745,0.4169027503176504,0.9009647199113978,2.5351934712679767,142.58674094071097,96.0
biased_gs,0.0,12.0,32,0,0.3219101495146821,-4.922653302148784,0.03932331014673212,0.5305174947929685,-5.962448485111418,-3.8828581191861495,30.903374353409482,96.0
biased_gs,6.0,12.0,32,0,0.06620953609195232,-11.790794550640237,0.0071391920422032235,0.4682877863500587,-12.70862174628634,-10.872967354994135,6.356115464827423,96.0
biased_gs,12.0,12.0,32,0,0.015110623067587384,-18.20717627703585,0.001795332870103746,0.5159966966140956,-19.218511218541117,-17.19584133553058,1.4506198144883888,96.0
cui_crlb,-5.0,12.0,32,0,0.7842389546243167,-1.0555158927604484,0.0073075289528575504,0.0404675065152123,-1.1348307480744044,-0.9762010374464923,75.2869396439344,96.0
cui_crlb,0.0,12.0,32,0,0.20671525250135447,-6.846274777375476,0.0013524264455786223,0.028413546431024752,-6.901964305053341,-6.790585249697611,19.84466424013003,96.0
cui_crlb,6.0,12.0,32,0,0.04614036827578036,-13.35918943419153,0.0002943765219573158,0.027708079468243357,-13.413496272030061,-13.304882596352998,4.429475354474914,96.0
cui_crlb,12.0,12.0,32,0,0.01139658503362096,-19.432252647368962,7.140710489388053e-05,0.027211407217698668,-19.485586025484306,-19.37891926925362,1.094072163227612,96.0
em_gs,-5.0,12.0,32,0,0.8738826031478268,-0.58546906301034,0.0942335279366478,0.4683134902302103,-1.5033466373358026,0.3324085113151227,83.89272990219138,96.0
em_gs,0.0,12.0,32,0,0.26173663854389634,-5.821354794858648,0.03222980672677091,0.5347828753404505,-6.869509970074704,-4.773199619642591,25.126717300214047,96.0
em_gs,6.0,12.0,32,0,0.061070838720264954,-12.141661155521664,0.006675581562206004,0.4747221909364631,-13.072099552419079,-11.211222758624249,5.862800517145436,96.0
em_gs,12.0,12.0,32,0,0.014418956254008552,-18.41066175783752,0.00179206145137852,0.5397633406016172,-19.468578465591715,-17.352745050083325,1.384219800384821,96.0
genie_zf,-5.0,12.0,32,0,0.30174735215985676,-5.203565321582305,0.03077788971298937,0.4429754750555981,-6.071781298725798,-4.335349344438812,28.967745807346247,96.0
genie_zf,0.0,12.0,32,0,0.0994577772422529,-10.023612509374061,0.010669922673115222,0.4659151519122939,-10.936789426973665,-9.110435591774458,9.547946615256278,96.0
genie_zf,6.0,12.0,32,0,0.018894869020026097,-17.23656114282932,0.002348816286730972,0.5398703485325024,-18.29468758227411,-16.17843470338453,1.8139074259225052,96.0
genie_zf,12.0,12.0,32,0,0.005122605180020369,-22.905091156727906,0.0005846435584762543,0.49566082570023234,-23.876568523647748,-21.933613789808064,0.4917700972819554,96.0
