experiment,config_fingerprint,track,trial,snr_db,rsr_db,N,K,P,modulation,algorithm,metric,value,error_energy,true_energy,expected_symbol_energy,bit_errors,bit_count,status,error_type,error_message,master_seed,sigma2,alpha_b_abs,max_iter
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,0,-5,12,36,3,1,16-QAM,biased_gs,detection_nmse,1.0934133912408777,3.2802401737226328,,3,,,ok,,,20260818,9.4868329805051381,3.9810717055349718,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,0,-5,12,36,3,1,16-QAM,em_gs,detection_nmse,0.55012683823612984,1.6503805147083894,,3,,,ok,,,20260818,9.4868329805051381,3.9810717055349718,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,0,-5,12,36,3,1,16-QAM,genie_zf,detection_nmse,0.19183286173080882,0.57549858519242647,,3,,,ok,,,20260818,9.4868329805051381,3.9810717055349718,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,0,-5,12,36,3,1,16-QAM,cui_crlb,detection_nmse,0.74676691882880941,2.2403007564864281,,3,,,ok,,,20260818,9.4868329805051381,3.9810717055349718,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,0,0,12,36,3,1,16-QAM,biased_gs,detection_nmse,0.51234015285040024,1.5370204585512008,,3,,,ok,,,20260818,3,3.9810717055349718,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,0,0,12,36,3,1,16-QAM,em_gs,detection_nmse,0.37050469408076925,1.1115140822423077,,3,,,ok,,,20260818,3,3.9810717055349718,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,0,0,12,36,3,1,16-QAM,genie_zf,detection_nmse,0.10337878881284424,0.31013636643853271,,3,,,ok,,,20260818,3,3.9810717055349718,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,0,0,12,36,3,1,16-QAM,cui_crlb,detection_nmse,0.19821550409459154,0.59464651228377463,,3,,,ok,,,20260818,3,3.9810717055349718,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,0,6,12,36,3,1,16-QAM,biased_gs,detection_nmse,0.10674073963370097,0.32022221890110292,,3,,,ok,,,20260818,0.75356592945287404,3.9810717055349736,50
cui_fig5_smoke,c0e9dc88d0cfa56fdb0f949681a1078c11cb4a9f098a448ff22e44596c40dd7d,A,0,6,12,36,3,1,16-QAM,em_gs,detection_nmse,0.098413368391237779,0.29524010517371335,,3,,,ok,,,20260818,0.75356592945287404,3.9810717055349736,50
