N,P,SNR_dB,trials,GS_dB,EMGS_dB,HSGS_dB,uncon_CRLB_dB,con_CRLB_dB,gain_dB,gain_ci_lo,gain_ci_hi,win_rate,tie_frac,active_frac,mean_Lhat,mean_sumL,med_GS_dB,med_EMGS_dB,med_HSGS_dB,gain_trim95_dB,EMGS_worst_share
8,10,-5.0,400,6.9209,6.5934,5.1258,9.2015,7.5983,1.4676,1.2989,1.6392,0.7625,0.1450,0.8550,1.857,14.875,6.7925,6.4492,4.7098,1.4441,0.0067
8,10,0.0,400,2.2913,2.1999,1.3451,3.2579,1.6283,0.8549,0.6141,1.0740,0.6125,0.1700,0.8300,2.058,14.875,2.0895,1.9717,1.0151,0.8931,0.0091
8,10,5.0,1200,-2.3139,-2.4209,-2.5161,-2.1457,-3.7089,0.0952,-0.0129,0.1973,0.3967,0.2983,0.7017,2.526,14.902,-2.5474,-2.6078,-2.7079,0.0039,0.0031
8,10,10.0,400,-7.1813,-7.2590,-6.4768,-7.0170,-8.5938,-0.7822,-1.1205,-0.4743,0.2250,0.4125,0.5875,2.998,14.875,-7.5285,-7.5528,-6.8049,-0.9169,0.0125
8,10,15.0,400,-11.6221,-11.6611,-10.3445,-11.9524,-13.6044,-1.3166,-1.7665,-0.8768,0.1725,0.5300,0.4700,3.353,14.875,-12.4427,-12.4574,-11.7503,-1.4998,0.0257
8,10,20.0,1200,-15.4837,-15.5012,-13.2673,-16.9725,-18.6675,-2.2339,-2.6971,-1.7684,0.1133,0.5992,0.4008,3.466,14.902,-17.2224,-17.2363,-16.4534,-2.8987,0.0361
8,30,-5.0,400,1.5730,0.4088,-0.3694,0.1981,-0.6871,0.7782,0.6593,0.9079,0.6850,0.1325,0.8675,1.927,14.875,1.7176,0.4303,-0.2676,0.7315,0.0050
8,30,0.0,400,-4.8781,-5.2206,-4.9615,-5.4914,-6.3752,-0.2591,-0.3927,-0.1225,0.3525,0.2525,0.7475,2.553,14.875,-4.8799,-5.2270,-4.9182,-0.3048,0.0058
8,30,5.0,400,-10.6256,-10.7426,-10.3374,-10.7866,-11.6736,-0.4052,-0.5517,-0.2624,0.2700,0.4100,0.5900,3.200,14.875,-10.6419,-10.7772,-10.5412,-0.3678,0.0051
8,30,10.0,400,-15.7582,-15.7978,-15.5716,-15.7542,-16.6413,-0.2261,-0.3418,-0.1167,0.1925,0.5950,0.4050,3.540,14.875,-15.8437,-15.8828,-15.7300,-0.2348,0.0048
8,30,15.0,400,-20.7323,-20.7428,-20.5751,-20.7454,-21.6239,-0.1677,-0.2661,-0.0812,0.1250,0.7425,0.2575,3.720,14.875,-20.6447,-20.6904,-20.6463,-0.1649,0.0056
8,30,20.0,400,-26.0009,-26.0033,-25.8899,-25.9538,-26.8263,-0.1134,-0.2158,-0.0209,0.1125,0.8100,0.1900,3.803,14.875,-25.8659,-25.8527,-25.7639,-0.1095,0.0056
16,10,-5.0,400,6.9099,6.6231,4.2108,9.2474,3.5479,2.4122,2.2173,2.6226,0.9150,0.0275,0.9725,2.340,14.875,6.9192,6.5247,3.7531,2.3847,0.0059
16,10,0.0,400,2.2143,2.1022,0.0690,3.2599,-2.3799,2.0332,1.8429,2.2343,0.8725,0.0425,0.9575,2.400,14.875,2.0343,1.9405,-0.3097,1.9030,0.0076
16,10,5.0,400,-2.4018,-2.5021,-3.3569,-2.1504,-7.6774,0.8548,0.6718,1.0311,0.6850,0.0700,0.9300,3.433,14.875,-2.5506,-2.6278,-3.4541,0.7622,0.0084
16,10,10.0,400,-7.1740,-7.2208,-7.5372,-7.0348,-12.6530,0.3163,0.0709,0.5523,0.6125,0.1050,0.8950,4.612,14.875,-7.5052,-7.5121,-8.0331,0.1715,0.0096
16,10,15.0,1200,-11.6101,-11.6448,-11.4941,-12.0409,-17.6296,-0.1507,-0.4154,0.1035,0.5700,0.1167,0.8833,4.973,14.902,-12.2402,-12.2546,-12.8254,-0.3550,0.0106
16,10,20.0,1200,-15.5240,-15.5420,-14.8590,-16.9642,-22.7041,-0.6830,-1.0941,-0.2645,0.5642,0.1225,0.8775,5.087,14.902,-17.1174,-17.1208,-17.4305,-1.4031,0.0188
16,30,-5.0,400,1.6283,0.5385,-1.0576,0.2426,-3.4949,1.5961,1.4476,1.7462,0.8975,0.0325,0.9675,2.558,14.875,1.7393,0.5900,-1.0824,1.5005,0.0052
16,30,0.0,400,-4.9469,-5.2532,-5.8681,-5.4938,-9.2152,0.6149,0.4787,0.7542,0.7150,0.0350,0.9650,3.640,14.875,-4.9595,-5.2087,-5.8434,0.5346,0.0046
16,30,5.0,400,-10.5859,-10.7042,-11.1711,-10.7925,-14.5181,0.4669,0.3240,0.6028,0.7025,0.0700,0.9300,4.550,14.875,-10.5770,-10.7129,-11.1645,0.4326,0.0050
16,30,10.0,400,-15.8039,-15.8401,-16.4562,-15.7791,-19.5095,0.6161,0.4835,0.7457,0.7900,0.0775,0.9225,4.925,14.875,-15.7859,-15.8231,-16.5672,0.6312,0.0041
16,30,15.0,400,-20.7787,-20.7904,-21.4447,-20.7660,-24.4813,0.6543,0.5558,0.7486,0.7875,0.0750,0.9250,5.245,14.875,-20.5732,-20.5888,-21.3706,0.6491,0.0044
16,30,20.0,400,-25.9437,-25.9470,-26.5806,-25.9246,-29.6321,0.6336,0.5381,0.7326,0.7700,0.1050,0.8950,5.460,14.875,-25.7753,-25.7685,-26.4706,0.6280,0.0049
32,10,-5.0,400,6.9310,6.6215,2.2957,9.2308,-0.7242,4.3258,4.1006,4.5464,0.9900,0.0050,0.9950,2.067,14.875,6.8982,6.5319,1.7746,4.2766,0.0069
32,10,0.0,400,2.2582,2.1663,-1.6587,3.2497,-6.5552,3.8250,3.6234,4.0139,0.9825,0.0000,1.0000,2.283,14.875,2.0888,2.0380,-1.7506,3.6807,0.0076
32,10,5.0,400,-2.4229,-2.5255,-5.2278,-2.0938,-11.8331,2.7022,2.4843,2.9079,0.9200,0.0075,0.9925,3.950,14.875,-2.4285,-2.5452,-5.6609,2.6323,0.0097
32,10,10.0,400,-7.1569,-7.2086,-10.0772,-7.0161,-16.8305,2.8686,2.5530,3.1864,0.9400,0.0050,0.9950,5.082,14.875,-7.4594,-7.5159,-10.6495,2.7494,0.0152
32,10,15.0,400,-11.7130,-11.7496,-14.3437,-12.0256,-21.8252,2.5941,2.2109,2.9601,0.8900,0.0125,0.9875,5.715,14.875,-12.2317,-12.2535,-15.4396,2.4749,0.0128
32,10,20.0,1200,-15.3916,-15.4091,-18.1200,-16.9903,-26.9724,2.7109,2.2461,3.1812,0.8642,0.0083,0.9917,5.781,14.902,-16.8939,-16.9127,-20.8013,2.0394,0.0142
32,30,-5.0,400,1.6429,0.5279,-2.5107,0.2331,-6.7977,3.0385,2.9030,3.1745,0.9900,0.0000,1.0000,2.450,14.875,1.6677,0.5526,-2.3998,2.9622,0.0047
32,30,0.0,400,-4.9099,-5.2532,-7.6726,-5.4904,-12.4900,2.4194,2.2703,2.5718,0.9725,0.0000,1.0000,4.050,14.875,-4.8905,-5.2340,-7.8265,2.3598,0.0045
32,30,5.0,400,-10.5764,-10.6892,-12.9568,-10.7405,-17.7428,2.2677,2.1210,2.4048,0.9600,0.0025,0.9975,5.022,14.875,-10.5944,-10.6970,-13.0554,2.2848,0.0043
32,30,10.0,400,-15.7756,-15.8128,-18.1637,-15.7874,-22.7955,2.3509,2.2078,2.5040,0.9675,0.0000,1.0000,5.508,14.875,-15.6939,-15.7360,-18.1960,2.3371,0.0041
32,30,15.0,400,-20.7534,-20.7633,-23.2710,-20.7710,-27.7676,2.5077,2.3847,2.6345,0.9800,0.0025,0.9975,5.878,14.875,-20.6743,-20.7080,-23.3121,2.5234,0.0043
32,30,20.0,400,-25.9331,-25.9366,-28.5401,-25.9275,-32.9063,2.6035,2.4651,2.7447,0.9850,0.0000,1.0000,5.950,14.875,-25.8802,-25.8792,-28.5838,2.5688,0.0041
