N,RSR_dB,trials,GS_dB,EMGS_dB,HSGS_dB,uncon_CRLB_dB,con_CRLB_dB,gain_dB,gain_ci_lo,gain_ci_hi,EMGS_advantage_over_GS_dB,win_rate,active_frac,mean_Lhat
8,0.0,400,-4.4089,-5.6941,-5.1104,-8.5094,-9.7116,-0.5837,-0.8759,-0.3158,1.2852,0.1650,0.4400,3.357
8,6.0,400,-8.8516,-9.6900,-9.2142,-10.2624,-11.1902,-0.4758,-0.6719,-0.2919,0.8384,0.2300,0.5275,3.243
8,12.0,400,-10.6256,-10.7426,-10.3374,-10.7866,-11.6736,-0.4052,-0.5517,-0.2624,0.1171,0.2700,0.5900,3.200
8,18.0,400,-10.9431,-10.9645,-10.3803,-10.8866,-11.7591,-0.5842,-0.7792,-0.4145,0.0214,0.2575,0.5825,3.147
8,24.0,400,-10.7375,-10.7402,-10.2748,-10.7133,-11.5835,-0.4654,-0.6068,-0.3258,0.0027,0.2125,0.5500,3.225
32,0.0,400,-4.3440,-5.6584,-7.1064,-8.5265,-16.7870,1.4480,1.0765,1.7975,1.3144,0.7800,0.9250,7.810
32,6.0,400,-8.9119,-9.7137,-12.2685,-10.2114,-17.3934,2.5548,2.3846,2.7383,0.8018,0.9675,1.0000,5.215
32,12.0,400,-10.5764,-10.6892,-12.9568,-10.7405,-17.7428,2.2677,2.1210,2.4048,0.1128,0.9600,0.9975,5.022
32,18.0,400,-10.9094,-10.9273,-13.3446,-10.9089,-17.8653,2.4174,2.2810,2.5576,0.0179,0.9750,0.9975,5.080
32,24.0,400,-10.7677,-10.7700,-13.0268,-10.7700,-17.6906,2.2568,2.0992,2.4163,0.0024,0.9625,1.0000,4.838
