epoch,train_loss_db,val_nmse_db,lr,seconds,mean_alpha
0,-3.7162282270377895,-4.961650821017153,0.0009990133642141358,169.1,0.1345005102455616
1,-5.047073363220035,-5.201881705006043,0.000996057350657239,76.7,0.1418619006872177
2,-5.260843276158744,-5.235931716291674,0.0009911436253643444,79.1,0.15115223675966263
3,-5.360436088257884,-5.3856037873254925,0.0009842915805643156,80.4,0.1637442022562027
4,-5.491870416091876,-5.463023392571148,0.0009755282581475769,79.3,0.1757144086062908
5,-5.599613140165434,-5.5237085406335575,0.0009648882429441258,79.0,0.1836872696876526
6,-5.683048907996473,-5.53794479547579,0.0009524135262330099,77.5,0.1885633111000061
7,-5.757269145736119,-5.545654832114392,0.0009381533400219318,78.0,0.1926446557044983
8,-5.822479772778939,-5.57111170527118,0.0009221639627510075,79.2,0.19525594860315323
9,-5.909185833564763,-5.536254456862862,0.0009045084971874736,79.9,0.19683087915182113
10,-5.984665886478295,-5.514040941454615,0.0008852566213878945,80.9,0.19773323312401772
11,-6.0699768183653955,-5.490596735361773,0.0008644843137107056,80.4,0.19886798709630965
12,-6.15243965855914,-5.469594512383477,0.0008422735529643443,79.9,0.2022693395614624
13,-6.236124168953758,-5.433864280796002,0.0008187119948743448,79.6,0.20334512144327163
14,-6.3193175323545345,-5.459476336314786,0.0007938926261462366,79.8,0.20511441975831984
