epoch,train_loss_db,val_nmse_db,lr,seconds,mean_alpha
0,-1.1744070662098796,-2.2716866401318434,0.0009990133642141358,127.2,0.18075723573565483
1,-2.2586275938718177,-3.3624577290529705,0.000996057350657239,34.0,0.25332217290997505
2,-3.6958802494912986,-4.222351271324491,0.0009911436253643444,34.3,0.3281581252813339
3,-4.1437695046376914,-4.369380375310003,0.0009842915805643156,34.3,0.3684976935386658
4,-4.258758647560264,-4.417498336421955,0.0009755282581475769,33.8,0.3911602333188057
5,-4.339946675252058,-4.5493064202928775,0.0009648882429441258,34.7,0.4073444023728371
6,-4.436513746698521,-4.582703649073025,0.0009524135262330099,33.8,0.4228160336613655
7,-4.473234100535613,-4.599227630824898,0.0009381533400219318,32.9,0.4372202605009079
8,-4.485409593381421,-4.6088687328924935,0.0009221639627510075,33.6,0.4478656932711601
9,-4.50920904850543,-4.646403151263411,0.0009045084971874736,34.8,0.45866454765200615
10,-4.540646785544002,-4.662199414145254,0.0008852566213878945,34.3,0.46777147278189657
11,-4.554949524710576,-4.677118277196069,0.0008644843137107056,33.4,0.47333300709724424
12,-4.57190166790738,-4.689868336163071,0.0008422735529643443,33.7,0.4789076238870621
13,-4.583107995968673,-4.702695521019952,0.0008187119948743448,35.3,0.48240364491939547
14,-4.591341574536928,-4.709305058840654,0.0007938926261462366,34.6,0.48660437017679214
15,-4.599612894508897,-4.712797198164684,0.0007679133974894982,34.1,0.4959575027227402
16,-4.606248608480089,-4.72641919018018,0.0007408768370508576,34.1,0.5016186825931073
17,-4.612733991561852,-4.72923276291062,0.0007128896457825362,35.0,0.5069010123610497
18,-4.618749233362546,-4.7350323315795615,0.0006840622763423389,35.2,0.5104809187352657
19,-4.6242638875945845,-4.742782186636632,0.0006545084971874735,36.0,0.5130199763923884
20,-4.629448092441844,-4.7477092753243335,0.0006243449435824271,34.8,0.5134336706250906
21,-4.634490945848494,-4.7498400143936355,0.0005936906572928622,34.8,0.5149368520826101
22,-4.639274490293512,-4.75524540932315,0.000562666616782152,34.3,0.5151255331933499
23,-4.643837975405759,-4.760447219130295,0.0005313952597646566,34.6,0.5154825333505869
24,-4.647965007754035,-4.763642171417575,0.0004999999999999998,33.5,0.5167810570448637
25,-4.652208487053851,-4.770402500215444,0.00046860474023534314,33.9,0.5164131425321102
26,-4.67911196123384,-4.8206760217147435,0.00043733338321784774,35.0,0.5186389954760671
27,-4.732715585319254,-4.838895940727418,0.00040630934270713756,33.8,0.5203771093860269
28,-4.748911557680273,-4.842145578099773,0.00037565505641757246,35.6,0.522368467412889
29,-4.755459518565784,-4.8462414449632565,0.00034549150281252633,33.3,0.5228917251341045
30,-4.759469286174643,-4.848893050750854,0.00031593772365766105,36.2,0.5230559340678156
31,-4.76232331764845,-4.853291619793632,0.00028711035421746355,33.6,0.5234356543049217
32,-4.764864564783166,-4.854337437752834,0.0002591231629491422,33.7,0.5230249070096761
33,-4.767084547448616,-4.859198835863339,0.00023208660251050145,34.2,0.5229441761504858
34,-4.769216373242649,-4.8628959326427985,0.00020610737385376337,34.1,0.5224880847614258
35,-4.77097885889663,-4.865004855250063,0.00018128800512565502,35.8,0.5220817239489406
36,-4.772084400704272,-4.864787788852184,0.00015772644703565555,33.7,0.5219329550396651
37,-4.773011731726511,-4.865674018504621,0.00013551568628929425,34.5,0.5217212734743952
38,-4.773704453730824,-4.865863400350604,0.00011474337861210535,34.7,0.5216362948529423
39,-4.77425005915677,-4.866392664339562,9.549150281252626e-05,34.2,0.5215422716457396
40,-4.774740650035824,-4.867285036139767,7.783603724899252e-05,33.9,0.5214823441347107
41,-4.775055579246918,-4.866727606973979,6.184665997806817e-05,33.9,0.5214462600648403
42,-4.775401842909326,-4.86802507023045,4.7586473766990294e-05,34.1,0.5213456963654608
43,-4.775633472151363,-4.867523427081569,3.5111757055874305e-05,34.4,0.5212805484188721
44,-4.775824404011292,-4.868580160547157,2.4471741852423218e-05,34.2,0.5212379473960027
45,-4.775943784766528,-4.868165981031083,1.5708419435684507e-05,34.0,0.5212157943984493
46,-4.776036851061944,-4.868482950608239,8.856374635655634e-06,33.9,0.5211992189288139
47,-4.776098527232071,-4.868532002545216,3.942649342761115e-06,34.3,0.5211930710356683
48,-4.776125429995731,-4.8685200733480345,9.866357858642198e-07,33.8,0.5211898836074397
49,-4.77614145436842,-4.868513583098512,0.0,34.1,0.5211890571052209
