epoch,train_loss_db,val_nmse_db,lr,seconds,mean_alpha
0,-4.542142509110074,-5.188074268445952,0.000985470908713026,914.6,0.14789402782917022
1,-5.439910787312508,-5.458051625003357,0.000942728012826605,459.3,0.16909538060426713
2,-5.661946487467989,-5.659636826113599,0.0008742553740855506,457.4,0.18188555166125298
3,-5.922300335389852,-5.988094868922779,0.0007840323733655781,485.9,0.1951952464878559
4,-6.266485011439535,-6.340702239947412,0.0006773024435212678,461.9,0.20887193735688925
5,-6.568997632324271,-6.548675191475789,0.0005602683401276615,464.0,0.2192199733108282
6,-6.750417933226675,-6.622270651131607,0.00043973165987233864,466.2,0.22742052227258683
7,-6.886486316364691,-6.684568645471966,0.00032269755647873233,469.5,0.23202302157878876
8,-7.00381281324935,-6.700468546769573,0.00021596762663442218,464.7,0.23603784684091805
9,-7.113269349686555,-6.707360263592214,0.00012574462591444943,479.9,0.2374746087938547
10,-7.208824528735604,-6.698546128654409,5.727198717339522e-05,487.7,0.2383554395288229
11,-7.282026804117336,-6.686166452013435,1.4529091286973998e-05,482.1,0.23849013894796373
12,-7.328170752694403,-6.675561719067195,0.0,477.7,0.2386384709738195
