epoch,train_loss_db,val_nmse_db,lr,seconds,mean_alpha
0,-2.82900153125736,-4.211895842514802,0.000985470908713026,633.9,0.3590853177011013
1,-4.417154313596672,-4.413181312841107,0.000942728012826605,179.5,0.41847855374217036
2,-4.516223241317192,-4.496762935677582,0.0008742553740855506,169.6,0.45042385160923004
3,-4.5834225076196535,-4.538446941059446,0.0007840323733655781,170.2,0.47305524051189424
4,-4.6115220091290485,-4.56189542041467,0.0006773024435212678,168.6,0.4903542473912239
5,-4.634832671292182,-4.58101288752631,0.0005602683401276615,166.5,0.4942233461886644
6,-4.6524030091731525,-4.595981737670438,0.00043973165987233864,165.4,0.4961122559383512
7,-4.664701939325874,-4.603777715406,0.00032269755647873233,178.1,0.5004631761461497
8,-4.672970135860574,-4.612911673947563,0.00021596762663442218,186.3,0.5067035669228062
9,-4.67811747425428,-4.617278565804298,0.00012574462591444943,181.2,0.5095724736573175
10,-4.713756213687836,-4.673219476465391,5.727198717339522e-05,180.6,0.5132480584899894
11,-4.746656436190969,-4.6800287464273715,1.4529091286973998e-05,171.5,0.5152332413592375
12,-4.751666777447766,-4.681457491005936,0.0,165.6,0.5157172920182347
