epoch,train_loss_db,val_nmse_db,lr,seconds
0,-5.01218528348991,-5.6641705678705145,0.000985470908713026,943.0
1,-5.888910290280901,-5.909274444790979,0.000942728012826605,565.6
2,-6.037047735608537,-6.014141032103892,0.0008742553740855506,579.3
3,-6.142410357274011,-6.099893544271998,0.0007840323733655781,593.1
4,-6.245335605771999,-6.199461212130233,0.0006773024435212678,570.3
5,-6.357328120217423,-6.268964543045575,0.0005602683401276615,575.7
6,-6.465383385121443,-6.3406437859698705,0.00043973165987233864,581.0
7,-6.574323145971089,-6.398415050557988,0.00032269755647873233,578.7
8,-6.675102943026539,-6.430835016431797,0.00021596762663442218,583.7
9,-6.7618499909668595,-6.436658676477446,0.00012574462591444943,583.6
10,-6.836544443827261,-6.436550152545041,5.727198717339522e-05,583.7
11,-6.89274442373884,-6.439885075788327,1.4529091286973998e-05,585.3
12,-6.927141563639302,-6.430552631896407,0.0,577.7
