epoch,train_loss_db,val_nmse_db,lr,seconds
0,-4.183864500963006,-4.822450742003252,0.000985470908713026,130.8
1,-4.977338117090125,-4.9518236704914145,0.000942728012826605,28.9
2,-5.104064616560743,-5.0777222497972705,0.0008742553740855506,29.9
3,-5.240710065831156,-5.2270451988964695,0.0007840323733655781,28.8
4,-5.430754590941847,-5.39581698426962,0.0006773024435212678,27.9
5,-5.602130966349329,-5.520945879887675,0.0005602683401276615,28.8
6,-5.726031524915984,-5.607340977160056,0.00043973165987233864,29.6
7,-5.811419014816337,-5.658721150815903,0.00032269755647873233,29.5
8,-5.877908865988642,-5.707595770457795,0.00021596762663442218,29.9
9,-5.931603239647129,-5.734665615225271,0.00012574462591444943,30.1
10,-5.972088931668501,-5.7562290741055815,5.727198717339522e-05,29.6
11,-6.000234991747991,-5.769248662565374,1.4529091286973998e-05,29.8
12,-6.017180715287873,-5.770478478646574,0.0,30.2
