epoch,train_loss_db,val_nmse_db,lr,seconds,mean_beta
0,-15.513365590248235,-15.608664158035232,0.000985470908713026,1180.1,1.0
1,-15.792541056128158,-15.875907552676223,0.000942728012826605,732.7,1.0
2,-16.05985233954253,-16.08665791535213,0.0008742553740855506,777.4,1.0
3,-16.29625239362649,-16.346367071229952,0.0007840323733655781,753.0,1.0
4,-16.555385918020626,-16.545539243150905,0.0006773024435212678,764.1,1.0
5,-16.72680579943607,-16.6971783441445,0.0005602683401276615,872.9,1.0
6,-16.91331844506422,-16.85303959808034,0.00043973165987233864,825.7,1.0
7,-17.076216665083127,-16.954644180444202,0.00032269755647873233,808.3,1.0
8,-17.203838148776693,-17.030426478239256,0.00021596762663442218,776.4,1.0
9,-17.30141803491328,-17.073105079653832,0.00012574462591444943,840.6,1.0
10,-17.376840401665923,-17.115850660808675,5.727198717339522e-05,793.8,1.0
11,-17.43172411707976,-17.13647912398883,1.4529091286973998e-05,779.4,1.0
12,-17.464025482102908,-17.13936364573828,0.0,808.3,1.0
