epoch,train_loss_db,val_nmse_db,lr,seconds,mean_beta
0,-4.836395482483308,-5.652289178071099,0.000985470908713026,1226.9,0.36611940860748293
1,-5.870915961018831,-5.939654531614557,0.000942728012826605,724.8,0.5764774978160858
2,-6.049887671628861,-6.008774470160039,0.0008742553740855506,721.6,0.6551223933696747
3,-6.16700839621998,-6.140732993418352,0.0007840323733655781,742.6,0.6971358120441437
4,-6.2904712729031935,-6.255676246144183,0.0006773024435212678,807.6,0.7094100832939148
5,-6.428008614349712,-6.338869522634112,0.0005602683401276615,806.0,0.7066888809204102
6,-6.56518067467694,-6.462397977801154,0.00043973165987233864,763.3,0.6923107743263245
7,-6.696447597855677,-6.53103995292952,0.00032269755647873233,764.7,0.6716691195964813
8,-6.815944790548951,-6.588690958333628,0.00021596762663442218,697.2,0.6525947690010071
9,-6.917647745056258,-6.614021640076002,0.00012574462591444943,728.5,0.6363285839557647
10,-7.001028469214471,-6.626194768588217,5.727198717339522e-05,714.7,0.6268559336662293
11,-7.061252842831066,-6.627228747929696,1.4529091286973998e-05,735.3,0.6231860876083374
12,-7.097981732708227,-6.620428181084261,0.0,725.3,0.6222674220800399
