epoch,train_loss_db,val_nmse_db,lr,seconds,mean_beta
0,-5.028659003073518,-5.647672774096399,0.000985470908713026,1240.5,0.8534490704536438
1,-5.89836350958927,-5.927159559616037,0.000942728012826605,753.4,0.9528100669384003
2,-6.065789729171528,-6.059672927598055,0.0008742553740855506,787.4,0.975206995010376
3,-6.199066830923773,-6.147672615377994,0.0007840323733655781,789.4,0.9803739070892334
4,-6.326604058221747,-6.2566210056175215,0.0006773024435212678,791.2,0.9801958620548248
5,-6.452486797808494,-6.36649566228246,0.0005602683401276615,768.4,0.9808965623378754
6,-6.59516733126985,-6.46240452318996,0.00043973165987233864,756.2,0.9774432122707367
7,-6.741814546525679,-6.548116233029305,0.00032269755647873233,743.0,0.9743444204330445
8,-6.873816614835187,-6.58615221879137,0.00021596762663442218,725.7,0.9718292534351349
9,-6.988499833380112,-6.610984918695436,0.00012574462591444943,754.7,0.9680876493453979
10,-7.082642269452184,-6.62135889069967,5.727198717339522e-05,692.6,0.9664547324180603
11,-7.152744970160535,-6.616071938854785,1.4529091286973998e-05,714.1,0.9651869177818299
12,-7.194536550048156,-6.609309831259322,0.0,731.7,0.9649804770946503
