epoch,train_loss_db,val_nmse_db,lr,seconds
0,-11.63690980065575,-4.413994276828714,0.000985470908713026,1371.6
1,-12.575543540771314,-5.448886449299579,0.000942728012826605,657.2
2,-13.02635066849729,-5.687832225467569,0.0008742553740855506,650.3
3,-13.354525605813961,-5.8661404825726295,0.0007840323733655781,640.7
4,-13.59799145899842,-6.0171824524717845,0.0006773024435212678,655.6
5,-14.029402637446074,-6.400197645710004,0.0005602683401276615,665.3
6,-14.509838799404886,-6.603667484072236,0.00043973165987233864,682.4
7,-14.823197797691583,-6.698954308965002,0.00032269755647873233,662.0
8,-15.006078472644585,-6.76818511052348,0.00021596762663442218,662.1
9,-15.133639638559252,-6.809652342527475,0.00012574462591444943,670.6
10,-15.224709301642163,-6.833193837292778,5.727198717339522e-05,639.4
11,-15.28564881815285,-6.8419046868219455,1.4529091286973998e-05,643.1
12,-15.320899485101458,-6.849542544823876,0.0,653.8
