epoch,train_loss_db,val_nmse_db,lr,seconds
0,-5.915610338555305,-6.389248026471712,0.000985470908713026,1557.2
1,-6.559303848940932,-6.611061611688283,0.000942728012826605,789.3
2,-6.816692008045786,-6.945298881337881,0.0008742553740855506,803.2
3,-7.208554159952747,-7.357880497872856,0.0007840323733655781,805.2
4,-7.605373046529498,-7.6683354894871005,0.0006773024435212678,812.5
5,-7.87299371266112,-7.8407464138606064,0.0005602683401276615,797.4
6,-8.048342637035976,-7.937605570673836,0.00043973165987233864,797.3
7,-8.175899100678638,-7.993372415619458,0.00032269755647873233,794.0
8,-8.284096145654368,-8.038504748654772,0.00021596762663442218,786.9
9,-8.379203940899561,-8.050731186913824,0.00012574462591444943,806.6
10,-8.460944077431334,-8.056474459714307,5.727198717339522e-05,797.5
11,-8.524745828867342,-8.051833732716048,1.4529091286973998e-05,802.0
12,-8.564964658183484,-8.04678875606096,0.0,786.5
