epoch,train_loss_db,val_nmse_db,lr,seconds
0,-3.1483214654964224,-3.7219203004549897,0.000985470908713026,1404.6
1,-3.9830955182331262,-3.9508051325498252,0.000942728012826605,757.0
2,-4.15275967697795,-4.053228410565236,0.0008742553740855506,740.3
3,-4.270021594351285,-4.145237505276397,0.0007840323733655781,745.0
4,-4.368142941650313,-4.232159301989509,0.0006773024435212678,753.0
5,-4.479962611730912,-4.31714794565415,0.0005602683401276615,742.4
6,-4.582614248958453,-4.366668848418063,0.00043973165987233864,745.4
7,-4.6837210683823685,-4.447783129043822,0.00032269755647873233,795.4
8,-4.7860750440799436,-4.4985056687716085,0.00021596762663442218,843.9
9,-4.876076194468833,-4.536810482074863,0.00012574462591444943,863.2
10,-4.947808048730632,-4.543689530602478,5.727198717339522e-05,856.4
11,-4.999203614247385,-4.557831660170267,1.4529091286973998e-05,855.6
12,-5.029083521661326,-4.559362136743285,0.0,868.9
