N,snr_db,trials,em_gs_nmse_db,em_gs_ci_lo,em_gs_ci_hi,hankel_nmse_db,hankel_ci_lo,hankel_ci_hi,gain_db,gain_ci_lo,gain_ci_hi,r_max,active_frac,mean_L_hat
8,-10.0,600,5.5763,5.4401,5.7149,4.8319,4.6877,4.9682,0.7444,0.6625,0.8291,4,0.7583,2.325
8,-5.0,600,0.4627,0.2959,0.6217,-0.2546,-0.4178,-0.1020,0.7173,0.6238,0.8173,4,0.8617,1.992
8,+0.0,600,-5.1975,-5.3544,-5.0381,-4.9197,-5.0837,-4.7466,-0.2778,-0.3895,-0.1736,4,0.7200,2.608
8,+5.0,600,-10.6246,-10.7760,-10.4788,-10.2215,-10.4026,-10.0366,-0.4031,-0.5206,-0.2894,4,0.5867,3.183
8,+10.0,600,-15.8319,-15.9760,-15.6735,-15.6414,-15.8153,-15.4633,-0.1905,-0.2765,-0.1064,4,0.4100,3.532
8,+15.0,600,-20.7337,-20.8902,-20.5872,-20.5354,-20.7079,-20.3690,-0.1983,-0.2983,-0.1063,4,0.2550,3.725
8,+20.0,600,-25.8961,-26.0538,-25.7391,-25.7058,-25.9239,-25.4652,-0.1903,-0.3889,-0.0508,4,0.1967,3.793
16,-10.0,400,5.6373,5.4986,5.7799,4.5329,4.3571,4.7028,1.1044,0.9822,1.2243,8,0.8850,3.785
16,-5.0,400,0.5385,0.3759,0.7081,-1.0576,-1.2292,-0.8716,1.5961,1.4476,1.7462,8,0.9675,2.558
16,+0.0,400,-5.2532,-5.4162,-5.0821,-5.8681,-6.0597,-5.6743,0.6149,0.4787,0.7542,8,0.9650,3.640
16,+5.0,400,-10.7042,-10.8614,-10.5300,-11.1711,-11.3824,-10.9560,0.4669,0.3240,0.6028,8,0.9300,4.550
16,+10.0,400,-15.8401,-15.9973,-15.6803,-16.4562,-16.6653,-16.2532,0.6161,0.4835,0.7457,8,0.9225,4.925
16,+15.0,400,-20.7904,-20.9346,-20.6472,-21.4447,-21.6180,-21.2681,0.6543,0.5558,0.7486,8,0.9250,5.245
16,+20.0,400,-25.9470,-26.1128,-25.7803,-26.5806,-26.7686,-26.3884,0.6336,0.5381,0.7326,8,0.8950,5.460
32,-10.0,200,5.5172,5.3348,5.6927,3.6197,3.3630,3.8849,1.8975,1.6682,2.1309,16,0.9650,5.220
32,-5.0,200,0.6756,0.4717,0.8895,-2.4128,-2.6141,-2.2215,3.0883,2.8872,3.2838,16,1.0000,2.455
32,+0.0,200,-5.2518,-5.4433,-5.0490,-7.6422,-7.9397,-7.3833,2.3904,2.1880,2.6218,16,1.0000,4.070
32,+5.0,200,-10.5765,-10.7756,-10.3600,-12.8159,-13.1217,-12.5027,2.2394,2.0266,2.4514,16,1.0000,4.880
32,+10.0,200,-15.8375,-16.0540,-15.6243,-18.2888,-18.6061,-17.9790,2.4513,2.2426,2.6655,16,1.0000,5.470
32,+15.0,200,-20.7719,-20.9573,-20.5968,-23.2963,-23.5370,-23.0404,2.5244,2.3538,2.6772,16,0.9950,5.935
32,+20.0,200,-25.8609,-26.0790,-25.6393,-28.4362,-28.7122,-28.1641,2.5753,2.3750,2.7717,16,1.0000,5.955
